Punkte	Note	Studiengang	Versuch
74	2.7	LA	2
51	4.0	LA	2
43	5.0	LA	1
80	2.0	LA	1
80	2.0	LA	1
83	2.0	LA	2
54	4.0	LA	1
70	2.7	LA	2
81	2.0	LA	1
7	5.0	LA	1
93	1.3	LA	1
74	2.7	LA	1
90	1.3	LA	1
94	1.3	LA	1
76	2.3	LA	1
68	3.0	LA	1
88	1.7	LA	1
55	3.7	LA	1
67	3.0	LA	1
92	1.3	LA	1
55	3.7	LA	1
71	2.7	LA	1
23	5.0	LA	1
98	1.0	LA	1
52	4.0	LA	1
71	2.7	LA	1
		LA	1
53	4.0	LA	3
75	2.3	LA	1
87	1.7	LA	1
71	2.7	LA	2
		LA	1
65	3.0	LA	2
82	2.0	LA	1
66	3.0	LA	1
		LA	1
71	2.7	LA	2
99	1.0	LA	1
73	2.7	LA	2
70	2.7	LA	1
89	1.7	LA	1
92	1.3	LA	1
28	5.0	LA	1
21	5.0	LA	1
50	4.0	LA	1
29	5.0	LA	1
89	1.7	LA	1
61	3.3	LA	1
91	1.3	LA	1
90	1.3	LA	3
59	3.7	LA	1
43.5	5.0	LA	1
77	2.3	LA	3
58	3.7	LA	1
85	1.7	LA	1
88.5	1.7	LA	1
88	1.7	LA	1
55	3.7	LA	1
		LA	1
12	5.0	LA	1
100	3.7	Bsc	1
28	5.0	Bsc	1
100	4.0	Bsc	1
51	4.0	Bsc	1
25.5	5.0	Bsc	1
33	5.0	Bsc	1
55	3.7	Bsc	1
66	3.0	Bsc	1
76.5	2.3	Bsc	1
23	5.0	Bsc	1
86	1.7	Bsc	1
55	3.7	Bsc	1
65	3.0	Bsc	1
		Bsc	2
88	1.7	Bsc	3
92	1.3	Bsc	1
71	2.7	Bsc	1
63	3.3	Bsc	1
4.5	5.0	Bsc	1
50	4.0	Bsc	1
33	5.0	Bsc	2
59	3.7	Bsc	1
82	2.0	Bsc	1
78.5	2.3	Bsc	1
61	3.3	Bsc	3
84	2.0	Bsc	1
69	3.0	Bsc	1
38	5.0	Bsc	1
8	5.0	Bsc	1
75	2.3	Bsc	1
70	2.7	Bsc	1
64	3.3	Bsc	1
53	4.0	Bsc	1
19	5.0	Bsc	1
72	2.7	Bsc	1
32	5.0	Bsc	1
41.5	5.0	Bsc	1
21	5.0	Bsc	1
81	2.0	Bsc	3
14	5.0	Bsc	1
64	3.3	Bsc	1
52	4.0	Bsc	1
73	2.7	Bsc	1
56	3.7	Bsc	1
25.5	5.0	Bsc	1
		Bsc	2
44.5	5.0	Bsc	1
78	2.3	Bsc	1
21	5.0	Bsc	1
11.5	5.0	Bsc	1
63	3.3	Bsc	1
58	3.7	Bsc	1
		Bsc	1
26	5.0	Bsc	1
77	2.3	Bsc	2
67.5	3.0	Bsc	1
54	4.0	Bsc	1
47	5.0	Bsc	1
74	2.7	Bsc	1
53.5	4.0	Bsc	1
71	2.7	Bsc	2
85	1.7	Bsc	1
44	5.0	Bsc	1
61	3.3	Bsc	1
80	2.0	Bsc	1
19	5.0	Bsc	2
75	2.3	Bsc	1
21	5.0	Bsc	1
59	3.7	Bsc	1
		Bsc	1
51	4.0	Bsc	1
52.5	4.0	Bsc	1
88	1.7	Bsc	1
13	5.0	Bsc	1
71	2.7	Bsc	1
67	3.0	Bsc	1
68	3.0	Bsc	1
27	5.0	Bsc	1
74	2.7	Bsc	1
41	5.0	Bsc	1
42	5.0	Bsc	1
		Bsc	1
64	3.3	Bsc	1
62	3.3	Bsc	1
43	5.0	Bsc	1
		Bsc	1
33	5.0	Bsc	1
40	5.0	Bsc	1
53	4.0	Bsc	1
78	2.3	Bsc	1
66	3.0	Bsc	1
22	5.0	Bsc	2
45	5.0	Bsc	1
84	2.0	Bsc	1
33	5.0	Bsc	1
48	5.0	Bsc	2
93	1.3	Bsc	1
81	2.0	Bsc	1
55.5	3.7	Bsc	1
61	3.3	Bsc	1
88	1.7	Bsc	1
83	2.0	Bsc	3
53	4.0	Bsc	1
91	1.3	Bsc	1
43	5.0	Bsc	1
34	5.0	Bsc	1
